,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year,Lower Confidence Interval,Upper Confidence Interval,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,RANK,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita
322,New Zealand,,,,,,1.54819512367249,,0.614062130451202,,0.500005125999451,,2017,,,8.0,7.31400012969971,7.3795104418695,7.24848981752992,1.40570604801178,0.816759705543518,0.382816702127457,2.0464563369751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Sweden,,,,,,1.47816216945648,,0.612924098968506,,0.385399252176285,,2017,,,9.0,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,0.830875158309937,0.384398728609085,2.09753799438477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Australia,,,,,,1.51004195213318,,0.601607382297516,,0.477699249982834,,2017,,,10.0,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,0.84388679265976,0.301183730363846,2.06521081924438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Israel,,,,,,1.37628996372223,,0.405988603830338,,0.330082654953003,,2017,,,11.0,7.21299982070923,7.27985325649381,7.14614638492465,1.37538242340088,0.83840399980545,0.0852421000599861,2.80175733566284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Costa Rica,,,,,,1.41640365123749,,0.580131649971008,,0.214613229036331,,2017,,,12.0,7.0789999961853,7.16811166629195,6.98988832607865,1.10970628261566,0.759509265422821,0.100106589496136,2.89863920211792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Austria,,,,,,1.4599449634552,,0.567766189575195,,0.316472321748734,,2017,,,13.0,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,0.815328419208527,0.221060365438461,2.1385064125061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,United States,,,,,,1.41992056369781,,0.505740523338318,,0.392578780651093,,2017,,,14.0,6.99300003051758,7.07465674757957,6.91134331345558,1.54625928401947,0.77428662776947,0.135638788342476,2.2181134223938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Ireland,,,,,,1.55823111534119,,0.573110342025757,,0.42785832285881,,2017,,,15.0,6.97700023651123,7.04335166752338,6.91064880549908,1.53570663928986,0.80978262424469,0.29838815331459,1.77386903762817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Germany,,,,,,1.47252035140991,,0.562511384487152,,0.336269170045853,,2017,,,16.0,6.95100021362305,7.00538156926632,6.89661885797977,1.48792338371277,0.798950731754303,0.276731938123703,2.01576995849609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Belgium,,,,,,1.46231269836426,,0.539770722389221,,0.231503337621689,,2017,,,17.0,6.89099979400635,6.95582075044513,6.82617883756757,1.46378076076508,0.818091869354248,0.251343131065369,2.12421035766602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Luxembourg,,,,,,1.45758366584778,,0.59662789106369,,0.283180981874466,,2017,,,18.0,6.86299991607666,6.92368609987199,6.80231373228133,1.74194359779358,0.845089495182037,0.31883442401886,1.61951208114624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,United Kingdom,,,,,,1.49646008014679,,0.508190035820007,,0.492774158716202,,2017,,,19.0,6.71400022506714,6.78379176110029,6.64420868903399,1.44163393974304,0.805335938930511,0.265428066253662,1.70414352416992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Chile,,,,,,1.28402495384216,,0.376895278692245,,0.326662421226501,,2017,,,20.0,6.65199995040894,6.73925056010485,6.56474934071302,1.25278460979462,0.819479703903198,0.0822879821062088,2.50958585739136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,United Arab Emirates,,,,,,1.26641023159027,,0.60834527015686,,0.3609419465065,,2017,,,21.0,6.64799976348877,6.72204730376601,6.57395222321153,1.62634336948395,0.726798236370087,0.324489563703537,1.734703540802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Brazil,,,,,,1.43130600452423,,0.437453746795654,,0.16234989464283,,2017,,,22.0,6.63500022888184,6.72546950161457,6.5445309561491,1.10735321044922,0.616552352905273,0.111092761158943,2.76926708221436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Czech Republic,,,,,,1.43388521671295,,0.490946173667908,,0.0881067588925362,,2017,,,23.0,6.60900020599365,6.68386246263981,6.5341379493475,1.35268235206604,0.754444003105164,0.0368729270994663,2.45186185836792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Argentina,,,,,,1.44045114517212,,0.494519203901291,,0.109457060694695,,2017,,,24.0,6.59899997711182,6.69008508607745,6.50791486814618,1.18529546260834,0.695137083530426,0.059739887714386,2.61400532722473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Mexico,,,,,,1.210862159729,,0.412730008363724,,0.120990432798862,,2017,,,25.0,6.57800006866455,6.67114890769124,6.48485122963786,1.15318381786346,0.709978997707367,0.132774114608765,2.83715486526489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Singapore,,,,,,1.35381436347961,,0.549840569496155,,0.345965981483459,,2017,,,26.0,6.57200002670288,6.63672306910157,6.50727698430419,1.69227766990662,0.949492394924164,0.46430778503418,1.21636199951172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Malta,,,,,,1.48841166496277,,0.588767051696777,,0.574730575084686,,2017,,,27.0,6.52699995040894,6.59839677289128,6.45560312792659,1.34327983856201,0.821944236755371,0.153066068887711,1.55686283111572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Uruguay,,,,,,1.41222786903381,,0.57939225435257,,0.175096929073334,,2017,,,28.0,6.4539999961853,6.54590621769428,6.36209377467632,1.21755969524384,0.719216823577881,0.178061872720718,2.17240953445435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Guatemala,,,,,,1.25558519363403,,0.531310617923737,,0.283488392829895,,2017,,,29.0,6.4539999961853,6.56687397271395,6.34112601965666,0.872001945972443,0.540239989757538,0.0772232785820961,2.89389109611511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Panama,,,,,,1.37319254875183,,0.550026834011078,,0.21055693924427,,2017,,,30.0,6.4520001411438,6.55713071614504,6.34686956614256,1.23374843597412,0.706156134605408,0.070983923971653,2.30719995498657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,France,,,,,,1.38777685165405,,0.470222115516663,,0.129762306809425,,2017,,,31.0,6.44199991226196,6.51576780244708,6.36823202207685,1.43092346191406,0.844465851783752,0.172502428293228,2.00595474243164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Thailand,,,,,,1.42579245567322,,0.580200731754303,,0.572123110294342,,2017,,,32.0,6.42399978637695,6.50911685571074,6.33888271704316,1.12786877155304,0.647239029407501,0.0316127352416515,2.03950834274292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Taiwan Province of China,,,,,,1.38456535339355,,0.361466586589813,,0.258360475301743,,2017,,,33.0,6.42199993133545,6.49459602192044,6.34940384075046,1.43362653255463,0.793984234333038,0.0638292357325554,2.1266074180603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Spain,,,,,,1.53209090232849,,0.408781230449677,,0.190133571624756,,2017,,,34.0,6.40299987792969,6.4710548453033,6.33494491055608,1.38439786434174,0.888960599899292,0.0709140971302986,1.92775774002075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Qatar,,,,,,1.27429687976837,,0.604130983352661,,0.330473870038986,,2017,,,35.0,6.375,6.56847681432962,6.18152318567038,1.87076568603516,0.710098087787628,0.439299255609512,1.1454644203186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Colombia,,,,,,1.4021829366684,,0.477487415075302,,0.149014472961426,,2017,,,36.0,6.35699987411499,6.45202005416155,6.26197969406843,1.07062232494354,0.595027923583984,0.0466687418520451,2.61606812477112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Saudi Arabia,,,,,,1.28667759895325,,0.449750572443008,,0.147616013884544,,2017,,,37.0,6.3439998626709,6.44416661202908,6.24383311331272,1.53062355518341,0.590148329734802,0.27343225479126,2.0654296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Trinidad and Tobago,,,,,,1.3802285194397,,0.518630743026733,,0.325296461582184,,2017,,,38.0,6.16800022125244,6.38153389066458,5.95446655184031,1.36135590076447,0.519983291625977,0.0089648161083459,2.05324745178223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Kuwait,,,,,,1.25969874858856,,0.496337592601776,,0.228289797902107,,2017,,,39.0,6.10500001907349,6.1919569888711,6.01804304927588,1.63295245170593,0.632105708122253,0.215159550309181,1.64042520523071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Slovakia,,,,,,1.50505924224854,,0.295817464590073,,0.136544480919838,,2017,,,40.0,6.09800004959106,6.1773484121263,6.01865168705583,1.32539355754852,0.712732911109924,0.0242108516395092,2.09777665138245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Bahrain,,,,,,1.32311046123505,,0.536746919155121,,0.172668486833572,,2017,,,41.0,6.08699989318848,6.17898906782269,5.99501071855426,1.48841226100922,0.653133034706116,0.257042169570923,1.65614938735962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Malaysia,,,,,,1.28464603424072,,0.402264982461929,,0.416608929634094,,2017,,,42.0,6.08400011062622,6.17997963652015,5.98802058473229,1.29121541976929,0.618784427642822,0.0656007081270218,2.00444889068604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Nicaragua,,,,,,1.28721570968628,,0.447551846504211,,0.301674216985703,,2017,,,43.0,6.07100009918213,6.18658360034227,5.95541659802198,0.737299203872681,0.653095960617065,0.130687981843948,2.51393055915833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Ecuador,,,,,,1.28616881370544,,0.4551981985569,,0.150112465023994,,2017,,,44.0,6.00799989700317,6.10584767535329,5.91015211865306,1.00082039833069,0.685636222362518,0.140134647488594,2.29035258293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,El Salvador,,,,,,1.18212509155273,,0.432452529668808,,0.0782579854130745,,2017,,,45.0,6.00299978256226,6.108635122329,5.89736444279552,0.909784495830536,0.596018552780151,0.0899809598922729,2.7145938873291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Poland,,,,,,1.44571197032928,,0.520342111587524,,0.158465966582298,,2017,,,46.0,5.97300004959106,6.05390834122896,5.89209175795317,1.29178786277771,0.699475347995758,0.0593078061938286,1.79772281646729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Uzbekistan,,,,,,1.54896914958954,,0.658248662948608,,0.415983647108078,,2017,,,47.0,5.97100019454956,6.06553757295012,5.876462816149,0.786441087722778,0.498272627592087,0.246528223156929,1.81691360473633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Italy,,,,,,1.44492328166962,,0.256450712680817,,0.17278964817524,,2017,,,48.0,5.96400022506714,6.04273690596223,5.88526354417205,1.39506661891937,0.853144347667694,0.0280280914157629,1.81331205368042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Russia,,,,,,1.46928238868713,,0.373783111572266,,0.0522638224065304,,2017,,,49.0,5.96299982070923,6.03027490749955,5.89572473391891,1.28177809715271,0.547349333763123,0.0329628810286522,2.20560741424561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Belize,,,,,,1.08141779899597,,0.547509372234344,,0.240015640854836,,2017,,,50.0,5.95599985122681,6.19724231779575,5.71475738465786,0.907975316047668,0.450191766023636,0.0965810716152191,2.63195562362671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Japan,,,,,,1.43633782863617,,0.505625545978546,,0.12057276815176,,2017,,,51.0,5.92000007629395,5.99071944460273,5.84928070798516,1.41691517829895,0.913475871086121,0.163760736584663,1.36322355270386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Lithuania,,,,,,1.47351610660553,,0.234231784939766,,0.010164656676352,,2017,,,52.0,5.90199995040894,5.98266964137554,5.82133025944233,1.31458234786987,0.62894994020462,0.0118656428530812,2.22844052314758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Algeria,,,,,,1.1462174654007,,0.233335807919502,,0.0694366469979286,,2017,,,53.0,5.87200021743774,5.97828643366694,5.76571400120854,1.09186446666718,0.617584645748138,0.146096110343933,2.56760382652283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Latvia,,,,,,1.40471494197845,,0.325707912445068,,0.153074786067009,,2017,,,54.0,5.84999990463257,5.92026353821158,5.77973627105355,1.26074862480164,0.638566970825195,0.0738427266478539,1.99365520477295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,South Korea,,,,,,1.12827444076538,,0.257921665906906,,0.206674367189407,,2017,,,55.0,5.83799982070923,5.92255902826786,5.7534406131506,1.40167844295502,0.900214076042175,0.0632826685905457,1.88037800788879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Moldova,,,,,,1.25182557106018,,0.240729048848152,,0.208779126405716,,2017,,,56.0,5.83799982070923,5.90837083846331,5.76762880295515,0.728870630264282,0.589465200901031,0.0100912861526012,2.80780839920044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Romania,,,,,,1.15009129047394,,0.457003742456436,,0.133519917726517,,2017,,,57.0,5.82499980926514,5.91969415679574,5.73030546173453,1.21768391132355,0.685158312320709,0.00438790069893,2.17683148384094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Bolivia,,,,,,1.22761905193329,,0.558732926845551,,0.22556072473526,,2017,,,58.0,5.82299995422363,5.9039769025147,5.74202300593257,0.833756566047668,0.473630249500275,0.0604777261614799,2.44327902793884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Turkmenistan,,,,,,1.49314916133881,,0.41827192902565,,0.24992498755455,,2017,,,59.0,5.82200002670288,5.88518087550998,5.75881917789578,1.13077676296234,0.437726080417633,0.259270340204239,1.83290982246399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Kazakhstan,,,,,,1.38436901569366,,0.437454283237457,,0.201964423060417,,2017,,,60.0,5.81899976730347,5.90364177465439,5.73435775995255,1.28455626964569,0.606041550636292,0.119282886385918,1.78489255905151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,North Cyprus,,,,,,1.18630337715149,,0.471203625202179,,0.266845703125,,2017,,,61.0,5.80999994277954,5.89736646488309,5.72263342067599,1.3469113111496,0.834647238254547,0.155353352427483,1.54915761947632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Slovenia,,,,,,1.45251882076263,,0.572575807571411,,0.242649093270302,,2017,,,62.0,5.75799989700317,5.84222516000271,5.67377463400364,1.3412059545517,0.790828227996826,0.0451289787888527,1.31331729888916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Peru,,,,,,1.21877038478851,,0.450002878904343,,0.126819714903831,,2017,,,63.0,5.71500015258789,5.81194677859545,5.61805352658033,1.03522527217865,0.630166113376617,0.0470490865409374,2.20726943016052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Mauritius,,,,,,1.20956099033356,,0.491247326135635,,0.360933750867844,,2017,,,64.0,5.62900018692017,5.72986219167709,5.52813818216324,1.18939554691315,0.638007462024689,0.0421815551817417,1.6975839138031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Cyprus,,,,,,1.13136327266693,,0.355111539363861,,0.271254301071167,,2017,,,65.0,5.62099981307983,5.71469269931316,5.5273069268465,1.35593807697296,0.84471470117569,0.0412379764020443,1.62124919891357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Estonia,,,,,,1.47667109966278,,0.479131430387497,,0.0988908112049103,,2017,,,66.0,5.61100006103516,5.68813987419009,5.53386024788022,1.32087934017181,0.695168316364288,0.183248922228813,1.35750865936279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Belarus,,,,,,1.44494521617889,,0.295400261878967,,0.15513750910759,,2017,,,67.0,5.56899976730347,5.64611424401402,5.49188529059291,1.15655755996704,0.637714266777039,0.156313821673393,1.72323298454285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Libya,,,,,,1.35756433010101,,0.465733230113983,,0.152073666453362,,2017,,,68.0,5.52500009536743,5.67695380687714,5.37304638385773,1.10180306434631,0.520169019699097,0.0926102101802826,1.83501124382019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Turkey,,,,,,1.33775317668915,,0.300740599632263,,0.0466930419206619,,2017,,,69.0,5.5,5.59486496329308,5.40513503670692,1.19827437400818,0.637605607509613,0.0996715798974037,1.87927794456482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Paraguay,,,,,,1.50728487968445,,0.473507791757584,,0.224150657653809,,2017,,,70.0,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,0.579250693321228,0.091065913438797,1.6853334903717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,"Hong Kong S.A.R., China",,,,,,1.26279091835022,,0.490968644618988,,0.374465793371201,,2017,,,71.0,5.47200012207031,5.54959417313337,5.39440607100725,1.55167484283447,0.943062424659729,0.293933749198914,0.554633140563965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Philippines,,,,,,1.25391757488251,,0.585214674472809,,0.193513423204422,,2017,,,72.0,5.42999982833862,5.54533505424857,5.31466460242867,0.85769921541214,0.468009054660797,0.0993318930268288,1.97260475158691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Serbia,,,,,,1.25818979740143,,0.208715528249741,,0.220125883817673,,2017,,,73.0,5.39499998092651,5.49156965613365,5.29843030571938,1.06931757926941,0.65078467130661,0.0409037806093693,1.94708442687988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jordan,,,,,,1.23908889293671,,0.418421149253845,,0.172170460224152,,2017,,,74.0,5.33599996566772,5.44841002240777,5.22358990892768,0.991012394428253,0.604590058326721,0.11980327218771,1.79117655754089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Hungary,,,,,,1.34313309192657,,0.175863519310951,,0.0784016624093056,,2017,,,75.0,5.32399988174438,5.40303970918059,5.24496005430818,1.2860119342804,0.687763452529907,0.0366369374096394,1.71645927429199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Jamaica,,,,,,1.36821806430817,,0.474307239055634,,0.233818337321281,,2017,,,76.0,5.31099987030029,5.58139872848988,5.04060101211071,0.925579309463501,0.641022384166718,0.0552677810192108,1.61232566833496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Croatia,,,,,,0.96798300743103,,0.255772292613983,,0.248002976179123,,2017,,,77.0,5.29300022125244,5.39177720457315,5.19422323793173,1.22255623340607,0.701288521289825,0.0431031100451946,1.85449242591858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Kosovo,,,,,,1.13785350322723,,0.260287940502167,,0.319931447505951,,2017,,,78.0,5.27899980545044,5.36484799548984,5.19315161541104,0.951484382152557,0.541452050209045,0.0574716180562973,2.01054072380066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,China,,,,,,1.16083741188049,,0.472787708044052,,0.0288068410009146,,2017,,,79.0,5.27299976348877,5.31927808977663,5.2267214372009,1.08116579055786,0.741415500640869,0.0227942746132612,1.76493859291077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Pakistan,,,,,,0.672690689563751,,0.23521526157856,,0.315446019172668,,2017,,,80.0,5.26900005340576,5.35998364135623,5.17801646545529,0.72688353061676,0.402047783136368,0.124348066747189,2.79248929023743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Indonesia,,,,,,1.27444469928741,,0.443323463201523,,0.611704587936401,,2017,,,81.0,5.26200008392334,5.35288859814405,5.17111156970263,0.995538592338562,0.492345720529556,0.0153171354904771,1.42947697639465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Venezuela,,,,,,1.43133759498596,,0.153997123241425,,0.0650196298956871,,2017,,,82.0,5.25,5.3700319455564,5.1299680544436,1.12843120098114,0.617144227027893,0.0644911229610443,1.78946375846863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Montenegro,,,,,,1.23837649822235,,0.194989055395126,,0.197911024093628,,2017,,,83.0,5.23699998855591,5.34104444056749,5.13295553654432,1.12112903594971,0.667464673519135,0.0881741940975189,1.72919154167175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Morocco,,,,,,0.774864435195923,,0.408158332109451,,0.0322099551558495,,2017,,,84.0,5.2350001335144,5.31834096476436,5.15165930226445,0.878114581108093,0.59771066904068,0.0877631828188896,2.45618939399719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Azerbaijan,,,,,,1.15240025520325,,0.398155838251114,,0.0452693402767181,,2017,,,85.0,5.23400020599365,5.29928653523326,5.16871387675405,1.15360176563263,0.540775775909424,0.180987507104874,1.76248168945312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Dominican Republic,,,,,,1.40241670608521,,0.55258983373642,,0.186967849731445,,2017,,,86.0,5.23000001907349,5.34906088516116,5.11093915298581,1.07937383651733,0.574873745441437,0.113945253193378,1.31946516036987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Greece,,,,,,1.23941457271576,,0.0957312509417534,,0.0,,2017,,,87.0,5.22700023651123,5.3252461694181,5.12875430360436,1.28948748111725,0.810198903083801,0.04328977689147,1.74922156333923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Lebanon,,,,,,1.12962424755096,,0.288515985012054,,0.264450758695602,,2017,,,88.0,5.22499990463257,5.31888228848577,5.13111752077937,1.07498753070831,0.735081076622009,0.037513829767704,1.69507384300232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Portugal,,,,,,1.36704301834106,,0.498465299606323,,0.0951027125120163,,2017,,,89.0,5.19500017166138,5.28504173308611,5.10495861023665,1.3151752948761,0.795843541622162,0.0158694516867399,1.10768270492554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Bosnia and Herzegovina,,,,,,1.0693359375,,0.204403176903725,,0.328867495059967,,2017,,,90.0,5.18200016021729,5.27633568674326,5.08766463369131,0.982409417629242,0.705186307430267,0.0,1.89217257499695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Honduras,,,,,,1.14394497871399,,0.348079860210419,,0.236188873648643,,2017,,,91.0,5.18100023269653,5.30158279687166,5.0604176685214,0.730573117733002,0.582569479942322,0.0733454525470734,2.06581115722656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Macedonia,,,,,,1.20789301395416,,0.325905978679657,,0.25376096367836,,2017,,,92.0,5.17500019073486,5.27217263966799,5.07782774180174,1.06457793712616,0.644948184490204,0.0602777935564518,1.6174693107605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Somalia,,,,,,0.721151351928711,,0.602126955986023,,0.291631311178207,,2017,,,93.0,5.15100002288818,5.24248370990157,5.0595163358748,0.0226431842893362,0.113989137113094,0.282410323619843,3.11748456954956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Vietnam,,,,,,1.27749133110046,,0.571055591106415,,0.234968051314354,,2017,,,94.0,5.07399988174438,5.14728076457977,5.000718998909,0.788547575473785,0.652168989181519,0.0876332372426987,1.46231865882874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Nigeria,,,,,,1.21577048301697,,0.394952565431595,,0.230947196483612,,2017,,,95.0,5.07399988174438,5.20950013548136,4.93849962800741,0.783756256103516,0.0569157302379608,0.0261215660721064,2.36539053916931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Tajikistan,,,,,,1.27146327495575,,0.471566706895828,,0.248997643589973,,2017,,,96.0,5.04099988937378,5.11142559587956,4.970574182868,0.524713635444641,0.529235124588013,0.146377146244049,1.84904932975769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Bhutan,,,,,,1.34012651443481,,0.501537680625916,,0.474054545164108,,2017,,,97.0,5.01100015640259,5.07933456212282,4.94266575068235,0.885416388511658,0.495879292488098,0.173380389809608,1.14018440246582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Kyrgyzstan,,,,,,1.39423859119415,,0.454943388700485,,0.42858037352562,,2017,,,98.0,5.00400018692017,5.08991990312934,4.91808047071099,0.596220076084137,0.553457796573639,0.0394391790032387,1.53672313690186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Nepal,,,,,,1.17928326129913,,0.440305948257446,,0.394096165895462,,2017,,,99.0,4.96199989318848,5.06735607936978,4.85664370700717,0.479820191860199,0.504130780696869,0.0729755461215973,1.8912410736084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Mongolia,,,,,,1.4930112361908,,0.394143968820572,,0.338464230298996,,2017,,,100.0,4.95499992370605,5.0216795091331,4.88832033827901,1.02723586559296,0.557783484458923,0.0329022891819477,1.11129236221313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,South Africa,,,,,,1.38478863239288,,0.479246735572815,,0.139362379908562,,2017,,,101.0,4.8289999961853,4.92943518772721,4.72856480464339,1.05469870567322,0.187080070376396,0.0725094974040985,1.51090860366821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Tunisia,,,,,,0.868351459503174,,0.289680689573288,,0.0496933571994305,,2017,,,102.0,4.80499982833862,4.88436700701714,4.72563264966011,1.00726580619812,0.613212049007416,0.0867231488227844,1.89025115966797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Palestinian Territories,,,,,,1.15564715862274,,0.25471106171608,,0.114173173904419,,2017,,,103.0,4.77500009536743,4.88184834256768,4.66815184816718,0.716249227523804,0.565666973590851,0.0892826020717621,1.8788902759552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Egypt,,,,,,0.997471392154694,,0.282110154628754,,0.128631442785263,,2017,,,104.0,4.7350001335144,4.82513378962874,4.64486647740006,0.989701807498932,0.520187258720398,0.114381365478039,1.70216107368469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Bulgaria,,,,,,1.43437945842743,,0.289231717586517,,0.113177694380283,,2017,,,105.0,4.71400022506714,4.80369470641017,4.62430574372411,1.1614590883255,0.708217680454254,0.0110515309497714,0.996139287948608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Sierra Leone,,,,,,0.984136044979095,,0.318697690963745,,0.293040901422501,,2017,,,106.0,4.70900011062622,4.85064333498478,4.56735688626766,0.36842092871666,0.0055647538974881,0.0710951760411263,2.66845989227295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Cameroon,,,,,,0.946018218994141,,0.430388748645782,,0.236298456788063,,2017,,,107.0,4.69500017166138,4.79654085725546,4.5934594860673,0.564305365085602,0.132892116904259,0.0513066314160824,2.3336455821991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
